transaction_id,date,amount,currency,transaction_type,description
31973732,2023-03-03,6000.0,USD,credit,Tax refund.
87784291,2021-11-19,250.0,CAD,transfer,Transfer to Canadian account for vacation.
83422574,2022-05-09,80.5,USD,debit,Bookstore purchase.
67143923,2023-07-14,3000.0,USD,credit,Bonus from employer.
23064038,2022-03-15,125.67,USD,debit,Paid monthly rent to apartment complex.
38729335,2023-01-20,5000.0,EUR,transfer,Transfer of funds from personal account to business account.
71789979,2021-11-12,1000.0,GBP,debit,Withdrew cash for groceries.
88076547,2022-07-01,2500.0,USD,credit,Deposited tax refund into checking account.
30816201,2023-02-10,300.0,CAD,transfer,Sent money to friend for concert tickets.
30582103,2021-06-25,400.0,USD,debit,Bought lunch at work.
56146970,2023-01-01,1500.0,USD,credit,Received salary payment.
21930320,2022-09-15,750.0,USD,credit,Deposited bonus check from work.
49454983,2021-12-20,200.0,USD,debit,Bought holiday gifts.
50952960,2023-05-05,50.0,USD,credit,Refund from returned item.
66453699,2021-06-15,123.45,USD,debit,Purchased groceries at the local market.
56563090,2022-09-20,500.0,EUR,credit,Deposited salary from work.
23954260,2023-01-05,1000.0,JPY,transfer,Sent money to family in Japan for New Year's gifts.
90594023,2021-11-12,75.0,USD,debit,Bought a new book at the bookstore.
44912990,2022-07-28,250.0,GBP,credit,Received a transfer from a UK client.
11290585,2023-02-16,300.0,CNY,transfer,Sent money to a friend in China for their birthday.
99609160,2021-08-03,150.0,USD,debit,Bought tickets to a baseball game.
66183939,2022-10-10,400.0,EUR,credit,Deposited a bonus from work.
46047817,2023-03-25,200.0,JPY,transfer,Sent money to a charity in Japan.
15942251,2021-12-22,100.0,USD,debit,Bought holiday gifts.
38839084,2022-04-15,600.0,GBP,credit,Received a transfer from a client in the UK.
57077559,2023-05-08,150.0,CNY,transfer,Sent money to a friend in China for their wedding.
36122417,2021-02-20,120.0,USD,debit,Bought a new phone.
25079424,2022-06-05,350.0,EUR,credit,Deposited a bonus from work.
35686867,2023-06-22,800.0,JPY,transfer,Sent money to a friend in Japan for a birthday gift.
70773055,2021-07-18,175.0,USD,debit,Bought concert tickets.
65413052,2022-11-11,550.0,EUR,credit,Deposited a freelance payment.
66548729,2023-01-08,450.0,JPY,transfer,Sent money to a charity in Japan.
26152095,2021-10-25,110.0,USD,debit,Bought a new pair of shoes.
42256087,2022-03-03,700.0,GBP,credit,Received a transfer from a UK client.
93155705,2022-08-20,200.0,USD,debit,Bought groceries at the local market.
14000600,2023-02-15,400.0,EUR,credit,Deposited salary from work.
57766863,2021-12-01,1000.0,JPY,transfer,Sent money to family in Japan for New Year's gifts.
45511218,2022-05-08,150.0,USD,debit,Bought a new book at the bookstore.
19118388,2023-07-25,300.0,GBP,credit,Received a transfer from a client in the UK.
19896451,2021-09-12,250.0,CNY,transfer,Sent money to a friend in China for their birthday.
67171428,2022-11-28,120.0,USD,debit,Bought holiday gifts.
49841616,2023-04-05,800.0,EUR,credit,Deposited a bonus from work.
92578364,2022-01-02,150.5,USD,debit,Purchased groceries at local supermarket.
33801460,2023-06-15,2250.0,EUR,transfer,Sent money to family in Spain.
43023934,2021-12-31,3000.75,USD,credit,Received year-end bonus from work.
29734499,2022-07-01,1000.0,USD,debit,Paid rent for July.
61245789,2023-02-14,50.0,USD,credit,Received Valentine's Day gift.
87586847,2022-10-01,1200.5,USD,debit,Paid for airline tickets to visit family.
25766534,2023-04-05,600.0,USD,transfer,Sent money to friend for shared expense.
52608715,2021-05-15,175.0,USD,credit,Received tax refund.
56565560,2022-11-28,450.0,USD,debit,Paid for holiday gifts.
38586410,2023-03-12,800.0,USD,transfer,Sent money to help pay for medical bills.
51402253,2023-02-14,78.9,EUR,debit,Groceries purchase at local supermarket
79873191,2021-11-25,150.0,USD,transfer,Transfer of funds to savings account
46165457,2022-08-10,110.5,CAD,debit,Payment for mobile phone bill
92295824,2023-07-02,250.0,GBP,debit,Purchase of train ticket for London commute
51648485,2021-03-15,100.0,USD,transfer,Transfer of funds to investment account
43607701,2022-06-15,125.67,USD,debit,Payment for monthly gym membership.
40415027,2023-01-02,500.0,EUR,transfer,Transfer to cover rent payment.
72061049,2021-11-28,34.5,USD,debit,Withdrawal for grocery shopping.
36903668,2022-07-10,150.0,GBP,credit,Deposit from freelance work.
70919723,2023-02-22,250.0,USD,transfer,Transfer to cover utility bills.
65180812,2021-12-15,67.89,USD,debit,Withdrawal for holiday shopping.
80746047,2022-04-01,100.0,USD,credit,Deposit from part-time job.
49692141,2023-08-16,150.0,USD,transfer,Transfer to cover car insurance.
61639434,2021-09-20,45.0,USD,debit,Withdrawal for coffee shop purchase.
79307736,2022-12-25,200.0,USD,credit,Deposit from holiday bonus.
80741382,2023-03-03,50.0,USD,transfer,Transfer to cover student loans.
82599400,2021-07-12,75.0,USD,debit,Withdrawal for movie tickets.
57409879,2022-11-18,120.0,USD,credit,Deposit from freelance project.
30493683,2023-06-05,200.0,USD,transfer,Transfer to cover credit card payment.
15970173,2021-10-01,30.0,USD,debit,Withdrawal for gas station purchase.
99419636,2022-02-14,100.0,USD,credit,Deposit from part-time job.
39705339,2023-07-27,175.0,USD,transfer,Transfer to cover car maintenance.
65660553,2021-03-06,55.0,USD,debit,Withdrawal for lunch.
64047094,2022-08-22,250.0,USD,credit,Deposit from holiday pay.
88053572,2023-09-10,100.0,USD,transfer,Transfer to cover health insurance.
45769304,2021-11-28,40.0,USD,debit,Withdrawal for parking meter.
64189721,2022-06-15,150.0,USD,credit,Deposit from freelance work.
63442360,2023-02-22,220.0,USD,transfer,Transfer to cover rent payment.
50710501,2021-07-10,75.0,USD,debit,Withdrawal for grocery shopping.
38048895,2022-12-25,200.0,USD,credit,Deposit from holiday bonus.
10406183,2023-03-03,50.0,USD,transfer,Transfer to cover student loans.
77250235,2021-04-14,120.0,USD,debit,Withdrawal for movie tickets.
86807833,2022-09-22,100.0,USD,credit,Deposit from part-time job.
16643840,2023-06-05,200.0,USD,transfer,Transfer to cover car insurance.
60461090,2021-10-01,30.0,USD,debit,Withdrawal for gas station purchase.
43507902,2022-05-05,123.45,USD,credit,Direct deposit from employer
86668491,2021-10-10,500.0,EUR,debit,Grocery shopping in Spain
26857460,2023-02-22,2000.0,USD,transfer,Transfer to savings account
91374607,2021-12-28,100.0,USD,debit,Gas station refill
38612165,2023-08-03,300.0,CAD,debit,Payment for monthly rent
26270586,2022-01-09,120.0,JPY,debit,Sushi restaurant bill
23715268,2023-06-14,400.0,USD,transfer,Transfer to checking account
94923533,2021-09-27,250.0,AUD,debit,Purchase of a new laptop
82163859,2022-04-12,600.0,USD,debit,Payment for gym membership
12693605,2023-03-05,750.0,USD,debit,Payment for tuition fees
92815482,2021-02-20,50.0,USD,debit,Coffee shop purchase
87810752,2022-07-25,150.0,USD,credit,Reimbursement from insurance company
97896347,2023-01-08,300.0,USD,debit,Payment for car insurance premium
31644318,2021-11-11,200.0,USD,credit,Salary payment from freelance work
92397712,2022-12-22,100.0,USD,debit,Holiday shopping
93243867,2023-09-01,1000.0,USD,credit,Bonus payment from employer
25583593,2021-08-15,120.0,USD,debit,Gas station refill
98172391,2022-02-28,150.0,USD,debit,Payment for electricity bill
29435944,2023-07-10,250.0,USD,debit,Grocery shopping
71246156,2021-06-03,300.0,USD,debit,Payment for rent
49779245,2022-11-18,100.0,USD,debit,Gift for a friend's birthday
21548746,2023-04-20,750.0,USD,debit,Payment for car maintenance
53111251,2021-10-25,50.0,USD,debit,Coffee shop purchase
69679858,2022-06-01,150.0,USD,credit,Reimbursement from insurance company
19591449,2023-02-15,300.0,USD,debit,Payment for car insurance premium
98755907,2021-12-12,200.0,USD,credit,Salary payment from freelance work
96678047,2022-03-20,100.0,USD,debit,Holiday shopping
60763302,2023-11-05,1000.0,USD,credit,Bonus payment from employer
70207780,2021-09-01,120.0,USD,debit,Gas station refill
32377619,2021-06-01,54.23,USD,debit,Paid utility bill online
78142221,2022-12-15,1200.5,EUR,transfer,Sent money to family in Germany
89781744,2023-03-22,25.67,USD,debit,Bought coffee at local cafe
52452928,2022-08-09,7890.0,GBP,credit,Received salary payment from employer
78952656,2021-02-14,45.98,CAD,transfer,Sent money to friend in Canada
71207108,2023-11-27,11.25,USD,debit,Bought groceries at supermarket
49554293,2022-01-03,3000.0,USD,credit,Deposited tax refund into account
67681688,2021-07-10,10.5,USD,transfer,Sent money to sibling in US
22439055,2023-05-24,67.89,USD,debit,Bought movie tickets online
52157220,2022-09-15,200.0,USD,credit,Received payment from client
23233191,2021-10-22,15.67,USD,transfer,Sent money to charity organization
46063875,2023-02-01,45.98,USD,debit,Bought books at local bookstore
85885950,2022-12-25,1000.0,USD,credit,Received holiday bonus from employer
93313802,2021-04-03,50.0,USD,transfer,Sent money to partner for shared expenses
90670317,2023-07-18,22.5,USD,debit,Bought lunch at fast food restaurant
88769766,2022-06-05,150.0,USD,credit,Deposited rental income into account
86708924,2021-09-08,75.0,USD,transfer,Sent money to friend for shared expenses
43473069,2023-01-12,35.98,USD,debit,Bought gasoline at gas station
63352176,2022-11-28,500.0,USD,credit,Received payment from client
89453719,2021-03-01,10.0,USD,transfer,Sent money to parent for support
80399106,2023-06-15,25.0,USD,debit,Bought snacks at convenience store
64984040,2022-02-22,800.0,USD,credit,Received tax refund from government
77275754,2021-11-04,15.0,USD,transfer,Sent money to sibling for shared expenses
12567057,2023-04-09,60.0,USD,debit,Bought groceries at supermarket
42355484,2022-08-16,1000.0,USD,credit,Received salary payment from employer
46405517,2021-01-20,20.0,USD,transfer,Sent money to friend for shared expenses
41577223,2023-08-23,15.0,USD,debit,Bought coffee at local cafe
64673288,2022-10-01,500.0,USD,credit,Deposited rental income into account
17613874,2021-06-12,25.0,USD,transfer,Sent money to partner for shared expenses
44381551,2022-03-15,54.23,USD,credit,Direct deposit from employer.
10967292,2022-04-20,120.5,EUR,debit,Grocery purchase at local supermarket.
71748414,2023-01-01,78.99,USD,transfer,Transfer to checking account.
41054112,2022-06-15,34.56,USD,debit,Withdrawal at ATM.
49410345,2023-05-20,150.0,CAD,transfer,Transfer to savings account.
99104254,2022-03-01,150.23,USD,debit,Paid rent for apartment in New York City.
27557290,2023-01-15,1000.0,EUR,debit,Withdrew cash from ATM in Berlin for travel expenses.
78930122,2021-11-28,500.0,USD,transfer,Transferred funds to savings account for future home purchase.
43905917,2022-06-12,250.0,GBP,credit,Received refund for canceled flight to London.
18881919,2023-02-27,300.0,USD,debit,Bought groceries at local supermarket in San Francisco.
69237899,2021-07-09,1000.0,JPY,transfer,Transferred funds to Japanese bank account for vacation expenses.
72808615,2022-09-14,200.0,USD,credit,Received payment for freelance work from client in New York.
26660090,2023-10-23,750.0,CAD,debit,Paid for hotel room in Toronto during business trip.
40446985,2023-02-15,150.0,EUR,debit,Withdrew cash from an ATM in Paris.
43766586,2021-10-20,75.6,USD,transfer,Transfer of funds from savings to checking account.
91118219,2022-09-12,200.0,USD,credit,Deposit of paycheck from part-time job.
30597302,2023-01-05,100.5,USD,debit,Withdrawal for groceries at local supermarket.
65490655,2021-12-31,500.0,USD,credit,Deposit of holiday bonus from full-time job.
86061282,2022-07-01,250.0,USD,transfer,Transfer of funds to investment account.
41455769,2023-04-15,120.0,USD,debit,Withdrew cash for travel expenses.
17768845,2023-08-12,150.0,USD,transfer,Transfer of funds to savings account.
80939738,2021-09-05,100.0,USD,debit,Withdrawal for rent payment.
23088836,2022-02-10,250.0,USD,credit,Deposit of tax refund.
28243716,2023-06-01,120.0,USD,transfer,Transfer of funds to emergency fund.
75125608,2022-03-15,150.0,EUR,debit,Withdrew cash for groceries in Berlin.
39748708,2021-11-20,75.6,USD,transfer,Transfer of funds to checking account.
42754110,2022-12-12,200.0,USD,credit,Deposit of holiday bonus from full-time job.
23409682,2023-02-05,100.5,USD,debit,Withdrawal for groceries at local supermarket.
17133740,2022-12-31,500.0,USD,credit,Deposit of holiday bonus from part-time job.
88301023,2023-07-01,250.0,USD,transfer,Transfer of funds to investment account.
89556755,2023-05-15,120.0,USD,debit,Withdrew cash for travel expenses.
81375961,2023-09-12,150.0,USD,transfer,Transfer of funds to savings account.
28373343,2022-10-05,100.0,USD,debit,Withdrawal for rent payment.
66543687,2023-03-10,250.0,USD,credit,Deposit of tax refund.
92187307,2023-07-01,120.0,USD,transfer,Transfer of funds to emergency fund.
53220960,2022-04-15,150.0,EUR,debit,Withdrew cash for groceries in Paris.
41989525,2022-02-20,75.6,USD,transfer,Transfer of funds to checking account.
81781217,2023-01-12,200.0,USD,credit,Deposit of paycheck from part-time job.
82399690,2022-11-05,100.5,USD,debit,Withdrawal for groceries at local supermarket.
21302191,2023-01-05,500.0,USD,credit,Deposit of holiday bonus from full-time job.
99632547,2021-07-15,54.32,USD,debit,Purchase of groceries at local supermarket
47959313,2022-10-01,125.76,EUR,transfer,Transfer of funds from personal to business account for expenses
98571490,2023-02-27,156.98,GBP,debit,Withdrawal of cash from ATM for travel expenses
93916718,2021-11-12,23.65,USD,credit,Deposit of tax refund check into checking account
68193727,2022-06-05,67.89,CAD,debit,Payment for utility bill at residence
72856753,2023-08-18,198.45,USD,transfer,Transfer of funds from savings to checking account for large purchase
88225902,2021-04-20,112.34,EUR,debit,Payment for mobile phone bill at local provider
43062469,2022-09-10,456.78,GBP,transfer,Transfer of funds from business to personal account for salary payment
69245596,2023-01-02,87.65,USD,debit,Withdrawal of cash from ATM for daily expenses
41891032,2021-09-25,200.36,USD,credit,Deposit of paycheck into checking account
25491317,2022-12-22,100.12,USD,debit,Payment for holiday gifts at department store
62642504,2023-07-11,135.67,USD,transfer,Transfer of funds from checking to savings account for emergency fund
45864949,2021-12-17,321.54,USD,debit,Payment for holiday travel expenses at airline website
10743943,2022-05-03,165.89,USD,transfer,Transfer of funds from personal to business account for project expenses
15211053,2023-04-24,200.0,USD,debit,Payment for car insurance premium at brokerage site
87222808,2021-08-08,123.45,USD,credit,Deposit of rent payment into landlord's account
89763376,2022-11-15,50.0,USD,debit,Payment for gym membership at local fitness center
12028357,2023-06-01,150.0,USD,transfer,Transfer of funds from checking to savings account for future investment
55593962,2021-02-14,180.0,USD,debit,Payment for home insurance premium at brokerage site
93279610,2022-07-22,75.0,USD,transfer,Transfer of funds from business to personal account for personal expenses
42599284,2023-03-06,250.0,USD,debit,Payment for mortgage payment at bank website
24103433,2021-01-09,100.0,USD,credit,Deposit of refund from insurance claim into checking account
32162843,2022-08-10,120.0,USD,debit,Payment for rent at property management company website
65144702,2023-09-15,150.0,USD,transfer,Transfer of funds from savings to checking account for large purchase
40618525,2021-06-25,200.0,USD,debit,Payment for car payment at dealership website
46011164,2022-12-12,300.0,USD,transfer,Transfer of funds from checking to savings account for future investment
32078554,2023-02-01,100.0,USD,debit,Payment for utilities at utility company website
84268072,2021-10-08,150.0,USD,transfer,Transfer of funds from business to personal account for personal expenses
69761104,2022-03-15,250.0,USD,debit,Payment for mortgage payment at bank website
